,id,name,href,price,promo,brand
0,216816,"Напиток Добрый Cola газированный без сахара, 1.5л",https://online.metro-cc.ru/products/napitok-dobryy-cola-gazirovannyy-bez-sahara-15l,120,,
1,352123,"Квас Очаковский двойного брожения, 2л",https://online.metro-cc.ru/products/kvas-ochakovo-ochakovskij-pet-2l,107,,очаковский
2,135125,"Напиток газированный Dr Pepper Original безалкогольный, 330мл",https://online.metro-cc.ru/products/gazirovannyj-dr-pepper-original-330ml,90.90,,dr pepper
3,140791,"Напиток Очаково Cool Cola Zero газированный, 1.5л",https://online.metro-cc.ru/products/15l-napitok-coolcola-zero-gazirovannyy-pet-140791,105,,cool cola
4,240016,"Квас Очаковский двойного брожения, 2л x 6 шт",https://online.metro-cc.ru/products/kvas-ochakovskij-2l,539.40,507.68,очаковский
5,203399,"Напиток Добрый Cola без сахара газированный, 330мл",https://online.metro-cc.ru/products/033l-gaz-nap-dobryy-kola-bez-sahara-zhb-203399,59.90,49.90,
6,203428,"Напиток Добрый Cola без сахара газированный, 500мл",https://online.metro-cc.ru/products/05l-gaz-nap-dobryy-kola-bez-sahara-pet-203428,79.90,,
7,212079,"Напиток Черноголовка Кола сильногазированный, 1.5л",https://online.metro-cc.ru/products/15l-gaz-nap-chernogolovka-limonad-kola-pet-212079,115,,черноголовка
8,203402,"Напиток Добрый Cola газированный, 1.5л x 9 шт",https://online.metro-cc.ru/products/15l-gaz-nap-dobryy-kola-pet-203402,1 071,981.79,
9,203508,"Напиток Rich bitter Лемон газированный, 1л",https://online.metro-cc.ru/products/1l-gaz-nap-rich-bitter-lemon-pet-203508,120,,rich
10,125921,"Напиток Натахтари Тархун, 500мл",https://online.metro-cc.ru/products/tarhun-natahtari-steklo-05-l,109,,натахтари
11,203445,"Напиток Добрый Cola без сахара газированный, 1л x 12 шт",https://online.metro-cc.ru/products/1l-gaz-nap-dobryy-kola-bez-sahara-pet-203445,1 151.88,838.80,
